Year,Month,T (CanESM2),T (CSIRO-Mk3-6-0),T (GFDL-CM3),T (MIROC-ESM),T (MPI-ESM-LR)
2023,1,6.9,4.65,4.37,4.64,6.86
2023,2,10.52,6.28,1.77,14.27,0.7
2023,3,12.6,14.59,9.01,13.37,13.76
2023,4,19.73,15.88,15.24,19.84,18.87
2023,5,19.11,19.26,19.68,21.11,21.49
2023,6,28.68,26.94,24.35,26.28,24.23
2023,7,27.4,29.6,25.53,28.03,26.19
2023,8,28.89,34.19,25.51,27.71,27.56
2023,9,26.45,23.37,23.72,21.9,23.22
2023,10,17.1,18.43,18.25,17.48,16.39
2023,11,14.08,11.73,12.53,13.73,10.78
2023,12,7.74,5.24,7.4,10.17,6.83
2024,1,5.05,8.59,4.96,8.52,4.3
2024,2,3.45,7.03,4.57,10.85,8.21
2024,3,10.08,10.77,6.86,18.78,10.14
2024,4,14.97,14.51,15.89,21.87,14.64
2024,5,19.63,19.85,18.97,23.01,19.99
2024,6,29.34,27.49,25.75,26.52,24.11
2024,7,26.57,29.13,26.01,28.35,28.95
2024,8,28.68,27.86,23.15,28.93,27.86
2024,9,21.87,26.3,22.77,23.95,21.19
2024,10,14.05,18.4,17.93,17.52,15.29
2024,11,12.12,12.46,10.87,11.36,11.82
2024,12,7.44,7.97,7.56,5.93,5.93
2025,1,6.08,6.27,4.74,6.96,6.75
2025,2,11.69,10.92,5.98,6.51,7.67
2025,3,9.63,9.56,13.21,12.67,9.2
2025,4,15.14,16.46,23.77,22.64,17.53
2025,5,23.56,19.91,21.23,21.76,24.46
2025,6,26,25.28,27.75,25.37,25.14
2025,7,28,27.08,26.7,27.61,28.43
2025,8,28.54,30.22,27.85,26.01,25.41
2025,9,25.71,24.12,27,24.35,19.78
2025,10,16.82,16.79,18.91,19.97,14.88
2025,11,8.55,10.71,7.14,11.99,10.32
2025,12,6.82,8.02,7.71,5.94,7.25
2026,1,1.85,2.07,8.55,4.93,4.12
2026,2,9.33,9.15,9.94,9.57,8.18
2026,3,11.91,12.31,16.47,15.27,13.05
2026,4,13.74,16.4,18.8,21.75,18.73
2026,5,24.97,20.65,24.38,20.52,23.05
2026,6,24.37,24.43,27.35,23.89,25.8
2026,7,24.14,29.45,29.83,24.9,27.12
2026,8,26.69,31.15,28.37,29.19,27.38
2026,9,23.69,24.79,25,22.64,22.1
2026,10,16.52,12.83,19.21,17.97,15.97
2026,11,6.02,8.74,8.28,13.18,10.1
2026,12,5.47,5.05,5.68,9.96,9.37
2027,1,1.84,-1.66,9.59,9.57,6.07
2027,2,5.32,10.42,9.34,12.23,5.17
2027,3,12.76,12.09,13.86,14.94,10.81
2027,4,14.5,14.4,18.67,22.87,17.6
2027,5,23.55,21.04,22.72,22.27,19.36
2027,6,23.92,23,29.03,27.24,24
2027,7,23.53,25.16,26.36,29.58,27.32
2027,8,26.86,26,26.95,29.31,27.77
2027,9,25.7,21.24,25.55,24.53,23.72
2027,10,17.65,19.34,18.43,16.45,17.83
2027,11,9.41,9.48,10.49,10.2,10.94
2027,12,8.07,5.7,14.66,8.79,6.34
2028,1,6.69,-2.1,4.37,6.24,4.92
2028,2,14.37,6.23,10.15,12.5,6.25
2028,3,13.35,10.85,16.34,15.14,11.77
2028,4,19.03,16.76,18.99,22.51,17.83
2028,5,22.18,18.9,19.26,21.08,24.61
2028,6,21.66,23.82,26.9,25.98,26.55
2028,7,28.75,30.26,26.76,29.04,27.42
2028,8,27.69,23.21,24.45,28.21,25.87
2028,9,27.21,22.7,24.28,26.83,22.92
2028,10,17.08,18.45,16.33,18.64,18.53
2028,11,5.26,9.96,12.84,11.23,12.63
2028,12,6.43,11.12,9.31,11.62,8.45
2029,1,7.5,10.45,7,8.81,2.36
2029,2,3.47,5.76,6.46,11.99,5.76
2029,3,15.31,14.65,13.62,17.2,13.38
2029,4,19.31,19.37,17.22,26.66,19.85
2029,5,23.97,22.95,22.67,23.92,22.01
2029,6,25.92,28.41,27.58,27.16,25.38
2029,7,26.26,29.01,30.75,28.24,30.47
2029,8,24.4,28.3,29.03,28.1,28.39
2029,9,26.83,20.56,21.97,23.25,24.23
2029,10,15.49,17.79,14.74,16.5,19.01
2029,11,10.12,11.12,9.79,13.98,13.43
2029,12,9.05,8.52,11.07,9.84,10.67
2030,1,6.36,4.14,10.24,8.93,8.84
